            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453818.500000000, A.D. 2006-Mar-24 00:00:00.0000, -6.152690604687091E+08, -5.297411891975350E+08,  1.596713274442372E+07,  8.370627017810445E+00, -9.294655913153985E+00, -1.486742359230373E-01,  2.708730835893146E+03,  8.120570753528011E+08, -2.817531579629289E-01,
2453819.500000000, A.D. 2006-Mar-25 00:00:00.0000, -6.145453206966943E+08, -5.305436772242639E+08,  1.595427458960298E+07,  8.382053654691282E+00, -9.282495095871349E+00, -1.490151134712319E-01,  2.708649482545833E+03,  8.120326862328432E+08, -2.817130409355169E-01,
2453820.500000000, A.D. 2006-Mar-26 00:00:00.0000, -6.138205028249398E+08, -5.313452434922391E+08,  1.594138359879324E+07,  8.396125822980581E+00, -9.271132785450687E+00, -1.493450293259131E-01,  2.708568192051220E+03,  8.120083159556512E+08, -2.831530527365204E-01,
2453821.500000000, A.D. 2006-Mar-27 00:00:00.0000, -6.130946297544876E+08, -5.321457767015078E+08,  1.592846382985580E+07,  8.407011008512098E+00, -9.261076943284440E+00, -1.497647164117768E-01,  2.708486779580368E+03,  8.119839091109025E+08, -2.813305015460061E-01,
2453822.500000000, A.D. 2006-Mar-28 00:00:00.0000, -6.123675983298864E+08, -5.329454891698842E+08,  1.591550913085601E+07,  8.421843980248376E+00, -9.249772773990143E+00, -1.500860799017398E-01,  2.708405449316283E+03,  8.119595269111230E+08, -2.833003181814078E-01,
2453823.500000000, A.D. 2006-Mar-29 00:00:00.0000, -6.116394069253274E+08, -5.337442236894476E+08,  1.590252459284914E+07,  8.435493548102508E+00, -9.239686820643406E+00, -1.504744527038659E-01,  2.708323855089914E+03,  8.119350655774410E+08, -2.835740628924324E-01,
2453824.500000000, A.D. 2006-Mar-30 00:00:00.0000, -6.109099451658341E+08, -5.345419319415970E+08,  1.588951372319782E+07,  8.448753804992297E+00, -9.225796152305687E+00, -1.507233649880519E-01,  2.708241614756879E+03,  8.119104105458539E+08, -2.860509518468721E-01,
2453825.500000000, A.D. 2006-Mar-31 00:00:00.0000, -6.101794494842733E+08, -5.353386168149116E+08,  1.587647355672544E+07,  8.462019013316731E+00, -9.215634085267443E+00, -1.511031080521144E-01,  2.708159328473977E+03,  8.118857417388428E+08, -2.860800126795071E-01,
2453826.500000000, A.D. 2006-Apr-01 00:00:00.0000, -6.094477831781768E+08, -5.361342712686059E+08,  1.586340619725385E+07,  8.473897265969903E+00, -9.203125027819771E+00, -1.514253645047909E-01,  2.708076637826705E+03,  8.118609517064434E+08, -2.866122517871658E-01,
2453827.500000000, A.D. 2006-Apr-02 00:00:00.0000, -6.087150355004638E+08, -5.369289892802218E+08,  1.585030645191538E+07,  8.488160567181559E+00, -9.192005121469631E+00, -1.517635024061077E-01,  2.707993973448358E+03,  8.118361695492700E+08, -2.880167802912990E-01,
2453828.500000000, A.D. 2006-Apr-03 00:00:00.0000, -6.079811929255661E+08, -5.377226495805349E+08,  1.583717919726020E+07,  8.499087427845749E+00, -9.181168168932871E+00, -1.521565766685993E-01,  2.707911034531761E+03,  8.118113050875993E+08, -2.867328511308577E-01,
2453829.500000000, A.D. 2006-Apr-04 00:00:00.0000, -6.072462081385651E+08, -5.385154682379670E+08,  1.582401736947009E+07,  8.514145506832635E+00, -9.169941163028158E+00, -1.524790107736553E-01,  2.707828180202926E+03,  8.117864659847019E+08, -2.887954601115306E-01,
2453830.500000000, A.D. 2006-Apr-05 00:00:00.0000, -6.065100477177050E+08, -5.393072736437057E+08,  1.581082703148833E+07,  8.527510653068584E+00, -9.159386640840046E+00, -1.528575091429674E-01,  2.707744949397189E+03,  8.117615140168689E+08, -2.891413982684640E-01,
2453831.500000000, A.D. 2006-Apr-06 00:00:00.0000, -6.057726145668006E+08, -5.400980429613196E+08,  1.579761044958395E+07,  8.541282275186806E+00, -9.145105041628696E+00, -1.530884421313461E-01,  2.707661050627146E+03,  8.117363617983745E+08, -2.922623682659153E-01,
2453832.500000000, A.D. 2006-Apr-07 00:00:00.0000, -6.050341516577231E+08, -5.408877232845007E+08,  1.578436661133909E+07,  8.553960151869576E+00, -9.134514019383953E+00, -1.534636814850971E-01,  2.707576971750096E+03,  8.117111555851579E+08, -2.921160537513980E-01,
2453833.500000000, A.D. 2006-Apr-08 00:00:00.0000, -6.042945319406078E+08, -5.416763504030324E+08,  1.577109605846804E+07,  8.565849901180801E+00, -9.121337917607503E+00, -1.537629426009794E-01,  2.707492475720248E+03,  8.116858243126786E+08, -2.931038410638440E-01,
2453834.500000000, A.D. 2006-Apr-09 00:00:00.0000, -6.035538752076013E+08, -5.424639971352228E+08,  1.575779391469109E+07,  8.579568639511269E+00, -9.110255293229343E+00, -1.541123928369315E-01,  2.707408021963980E+03,  8.116605057134994E+08, -2.940575133877406E-01,
2453835.500000000, A.D. 2006-Apr-10 00:00:00.0000, -6.028121394211669E+08, -5.432505626245427E+08,  1.574446473509607E+07,  8.590021760892055E+00, -9.098689284057777E+00, -1.544871856064893E-01,  2.707323281413171E+03,  8.116351011354802E+08, -2.929070469730174E-01,
2453836.500000000, A.D. 2006-Apr-11 00:00:00.0000, -6.020693321628836E+08, -5.440362745474167E+08,  1.573110034744209E+07,  8.604611170914403E+00, -9.087868870329210E+00, -1.548307677243739E-01,  2.707238780730006E+03,  8.116097684679714E+08, -2.943259741676573E-01,
2453837.500000000, A.D. 2006-Apr-12 00:00:00.0000, -6.013253762531638E+08, -5.448209759422367E+08,  1.571770698944488E+07,  8.617309024238009E+00, -9.077255776309451E+00, -1.552170645827178E-01,  2.707153979669208E+03,  8.115843457495139E+08, -2.941984994595373E-01,
2453838.500000000, A.D. 2006-Apr-13 00:00:00.0000, -6.005801798147708E+08, -5.456046791178119E+08,  1.570428548573956E+07,  8.631343882930766E+00, -9.063338328537990E+00, -1.554582146617949E-01,  2.707068679825234E+03,  8.115587734996217E+08, -2.972743673503146E-01,
2453839.500000000, A.D. 2006-Apr-14 00:00:00.0000, -5.998339594838042E+08, -5.463872849569738E+08,  1.569083689434937E+07,  8.643462423623239E+00, -9.052856623977746E+00, -1.558455926692526E-01,  2.706983194492846E+03,  8.115331456417023E+08, -2.966260668458357E-01,
2453840.500000000, A.D. 2006-Apr-15 00:00:00.0000, -5.990865880627300E+08, -5.471688707500231E+08,  1.567736035644659E+07,  8.655685256733090E+00, -9.039703978340452E+00, -1.561400281387271E-01,  2.706897383044745E+03,  8.115074200167515E+08, -2.978508730582802E-01,
2453841.500000000, A.D. 2006-Apr-16 00:00:00.0000, -5.983381883428950E+08, -5.479494747916591E+08,  1.566385215692145E+07,  8.669230895466514E+00, -9.029058213858205E+00, -1.565084969765995E-01,  2.706811634252448E+03,  8.114817131755383E+08, -2.983625190803751E-01,
2453842.500000000, A.D. 2006-Apr-17 00:00:00.0000, -5.975886800145502E+08, -5.487290107372084E+08,  1.565031679766494E+07,  8.679943392216567E+00, -9.017035836390832E+00, -1.568639485376564E-01,  2.706725556412002E+03,  8.114559076881719E+08, -2.977139340177184E-01,
2453843.500000000, A.D. 2006-Apr-18 00:00:00.0000, -5.968381153522680E+08, -5.495076857069383E+08,  1.563674621812868E+07,  8.694594090973389E+00, -9.006633449597761E+00, -1.572220997846259E-01,  2.706639745081842E+03,  8.114301820985787E+08, -2.988664897297495E-01,
2453844.500000000, A.D. 2006-Apr-19 00:00:00.0000, -5.960863736499206E+08, -5.502853474049659E+08,  1.562314712406871E+07,  8.707299124278544E+00, -8.995672224292333E+00, -1.575972406370481E-01,  2.706553561922917E+03,  8.114043450375264E+08, -2.989605744051300E-01,
2453845.500000000, A.D. 2006-Apr-20 00:00:00.0000, -5.953333816697589E+08, -5.510620177787762E+08,  1.560951955986199E+07,  8.722015998188599E+00, -8.981813787329992E+00, -1.578336712727055E-01,  2.706466878576244E+03,  8.113783580239596E+08, -3.024908855059059E-01,
2453846.500000000, A.D. 2006-Apr-21 00:00:00.0000, -5.945793316418287E+08, -5.518375417942723E+08,  1.559586691629237E+07,  8.733901461697267E+00, -8.970751836514449E+00, -1.582061982830516E-01,  2.706379815497262E+03,  8.113522571695106E+08, -3.020476160153441E-01,
2453847.500000000, A.D. 2006-Apr-22 00:00:00.0000, -5.938241255781516E+08, -5.526120253309040E+08,  1.558218695640221E+07,  8.746547671683990E+00, -8.957081564199916E+00, -1.584774289412079E-01,  2.706292372711688E+03,  8.113260424818891E+08, -3.039338696568237E-01,
2453848.500000000, A.D. 2006-Apr-23 00:00:00.0000, -5.930679006374189E+08, -5.533854677781376E+08,  1.556847715524244E+07,  8.759664768820487E+00, -8.946166286691769E+00, -1.588451539236928E-01,  2.706204883911339E+03,  8.112998139993850E+08, -3.042901677532834E-01,
2453849.500000000, A.D. 2006-Apr-24 00:00:00.0000, -5.923105655372462E+08, -5.541578103420756E+08,  1.555474113027921E+07,  8.770359419163535E+00, -8.933223447149125E+00, -1.591700278626931E-01,  2.706116992634439E+03,  8.112734648574463E+08, -3.042585047244179E-01,
2453850.500000000, A.D. 2006-Apr-25 00:00:00.0000, -5.915522286471558E+08, -5.549292405487585E+08,  1.554097079399791E+07,  8.784390587162470E+00, -8.922869747872902E+00, -1.595399188958235E-01,  2.706029389693467E+03,  8.112472021564441E+08, -3.048933802212269E-01,
2453851.500000000, A.D. 2006-Apr-26 00:00:00.0000, -5.907927401258830E+08, -5.556996394544090E+08,  1.552717217235404E+07,  8.796535033702769E+00, -8.911415421784447E+00, -1.599062503611348E-01,  2.705941440408862E+03,  8.112208356242332E+08, -3.049004417532884E-01,
2453852.500000000, A.D. 2006-Apr-27 00:00:00.0000, -5.900320527948570E+08, -5.564690521465093E+08,  1.551334402401781E+07,  8.811198974654003E+00, -8.897865057026761E+00, -1.601562160405114E-01,  2.705853134365024E+03,  8.111943621382948E+08, -3.081725592937682E-01,
2453853.500000000, A.D. 2006-Apr-28 00:00:00.0000, -5.892703198563441E+08, -5.572372968785938E+08,  1.549949128715363E+07,  8.822372801392707E+00, -8.886494170198169E+00, -1.605286349978110E-01,  2.705764428508694E+03,  8.111677687915865E+08, -3.074142911163141E-01,
2453854.500000000, A.D. 2006-Apr-29 00:00:00.0000, -5.885074702245818E+08, -5.580045192586197E+08,  1.548561002459389E+07,  8.835076206688040E+00, -8.872959396098832E+00, -1.608029825694732E-01,  2.705675483397578E+03,  8.111411037180980E+08, -3.092520358628414E-01,
2453855.500000000, A.D. 2006-Apr-30 00:00:00.0000, -5.877436281706781E+08, -5.587706919030994E+08,  1.547169890260974E+07,  8.847577176813340E+00, -8.862315864277985E+00, -1.611894489114745E-01,  2.705586537205460E+03,  8.111144383205330E+08, -3.089559325471394E-01,
2453856.500000000, A.D. 2006-May-01 00:00:00.0000, -5.869786796278545E+08, -5.595357929589840E+08,  1.545776047088203E+07,  8.858463650299893E+00, -8.849177108487247E+00, -1.615044987043501E-01,  2.705497263887607E+03,  8.110876748531404E+08, -3.092075889993346E-01,
2453857.500000000, A.D. 2006-May-02 00:00:00.0000, -5.862127603666741E+08, -5.602999768310351E+08,  1.544378747372186E+07,  8.872101838961377E+00, -8.839364113279490E+00, -1.618988894035938E-01,  2.705408346414411E+03,  8.110610180652918E+08, -3.091556958791079E-01,
2453858.500000000, A.D. 2006-May-03 00:00:00.0000, -5.854456799504938E+08, -5.610631566872970E+08,  1.542978541801631E+07,  8.884285806106945E+00, -8.827797396011761E+00, -1.622602541563314E-01,  2.705319126792530E+03,  8.110342706955463E+08, -3.092575998261387E-01,
2453859.500000000, A.D. 2006-May-04 00:00:00.0000, -5.846774062713189E+08, -5.618253762448909E+08,  1.541575275249004E+07,  8.899401629706780E+00, -8.814815096829307E+00, -1.625257386510564E-01,  2.705229630242507E+03,  8.110074403048322E+08, -3.124480712854560E-01,
2453860.500000000, A.D. 2006-May-05 00:00:00.0000, -5.839080402494125E+08, -5.625864178284062E+08,  1.540169638772139E+07,  8.910598353349210E+00, -8.802998288665934E+00, -1.628834792998086E-01,  2.705139598142373E+03,  8.109804493602341E+08, -3.120068192494451E-01,
2453861.500000000, A.D. 2006-May-06 00:00:00.0000, -5.831375473145899E+08, -5.633464373249954E+08,  1.538761152417257E+07,  8.923909269195846E+00, -8.789414049620603E+00, -1.631480643823906E-01,  2.705049307745513E+03,  8.109533809802259E+08, -3.143114483304977E-01,
2453862.500000000, A.D. 2006-May-07 00:00:00.0000, -5.823660389338431E+08, -5.641053650061703E+08,  1.537349853881225E+07,  8.936208335406635E+00, -8.778451886124349E+00, -1.635281407621276E-01,  2.704958865405193E+03,  8.109262670487139E+08, -3.140685607916510E-01,
2453863.500000000, A.D. 2006-May-08 00:00:00.0000, -5.815934035127172E+08, -5.648632043719944E+08,  1.535935892400154E+07,  8.947591686189750E+00, -8.764611172730735E+00, -1.638132626407454E-01,  2.704868011802928E+03,  8.108990298239727E+08, -3.151687290374633E-01,
2453864.500000000, A.D. 2006-May-09 00:00:00.0000, -5.808198135621997E+08, -5.656200617840443E+08,  1.534518664447364E+07,  8.960734789831614E+00, -8.754593216747084E+00, -1.642092600433469E-01,  2.704777406745352E+03,  8.108718671110548E+08, -3.148691993883206E-01,
2453865.500000000, A.D. 2006-May-10 00:00:00.0000, -5.800450678742889E+08, -5.663758905933404E+08,  1.533098599895087E+07,  8.972789993854326E+00, -8.742322366794198E+00, -1.645485047382578E-01,  2.704686461666718E+03,  8.108446024623879E+08, -3.153559322040143E-01,
2453866.500000000, A.D. 2006-May-11 00:00:00.0000, -5.792691680423959E+08, -5.671307332119297E+08,  1.531675492054859E+07,  8.987765732960872E+00, -8.729487399471804E+00, -1.648240318464449E-01,  2.704595280613382E+03,  8.108172670702854E+08, -3.183202542033305E-01,
2453867.500000000, A.D. 2006-May-12 00:00:00.0000, -5.784921733407112E+08, -5.678843629056083E+08,  1.530250122637591E+07,  8.998493206323298E+00, -8.716908068556107E+00, -1.651631563072846E-01,  2.704503477271393E+03,  8.107897451207381E+08, -3.180720003585993E-01,
2453868.500000000, A.D. 2006-May-13 00:00:00.0000, -5.777140995162082E+08, -5.686369545644596E+08,  1.528821881256592E+07,  9.011699577561918E+00, -8.703344850118942E+00, -1.654302069947957E-01,  2.704411496996291E+03,  8.107621701279774E+08, -3.202807669573739E-01,
2453869.500000000, A.D. 2006-May-14 00:00:00.0000, -5.769350379089754E+08, -5.693884227389477E+08,  1.527390901144758E+07,  9.023191563087913E+00, -8.692176119850089E+00, -1.658149872008075E-01,  2.704319357215482E+03,  8.107345473166093E+08, -3.195911156670336E-01,
2453870.500000000, A.D. 2006-May-15 00:00:00.0000, -5.761548822263520E+08, -5.701388156898216E+08,  1.525957158053303E+07,  9.034629412973354E+00, -8.678183675610178E+00, -1.660942291279701E-01,  2.704226918216041E+03,  8.107068348017520E+08, -3.208447219781573E-01,
2453871.500000000, A.D. 2006-May-16 00:00:00.0000, -5.753738160937976E+08, -5.708882028530244E+08,  1.524520170929709E+07,  9.046917536024504E+00, -8.668425965391879E+00, -1.665113665763789E-01,  2.704134778075003E+03,  8.106792118823895E+08, -3.197267688778522E-01,
2453872.500000000, A.D. 2006-May-17 00:00:00.0000, -5.745916195941736E+08, -5.716365925822083E+08,  1.523080208861738E+07,  9.058857841065986E+00, -8.656134801067058E+00, -1.668502215046006E-01,  2.704042436168163E+03,  8.106515284751616E+08, -3.201396031998840E-01,
2453873.500000000, A.D. 2006-May-18 00:00:00.0000, -5.738083040276035E+08, -5.723840206891717E+08,  1.521637067457774E+07,  9.073733026846430E+00, -8.644084525366532E+00, -1.671559150958708E-01,  2.703950005081271E+03,  8.106238183324265E+08, -3.224566117856302E-01,
2453874.500000000, A.D. 2006-May-19 00:00:00.0000, -5.730238656681979E+08, -5.731302583177717E+08,  1.520191618950281E+07,  9.084506209184747E+00, -8.631237822263921E+00, -1.674853599696879E-01,  2.703856938771558E+03,  8.105959177546809E+08, -3.224311838711659E-01,
2453875.500000000, A.D. 2006-May-20 00:00:00.0000, -5.722383563396132E+08, -5.738754748665122E+08,  1.518743223531589E+07,  9.098084397350618E+00, -8.618106986527344E+00, -1.677622663527751E-01,  2.703763758774141E+03,  8.105679830942185E+08, -3.245878267764065E-01,
2453876.500000000, A.D. 2006-May-21 00:00:00.0000, -5.714518302743196E+08, -5.746195588532463E+08,  1.517292165332216E+07,  9.109451227981223E+00, -8.606741166017601E+00, -1.681423859906475E-01,  2.703670330163512E+03,  8.105399739013907E+08, -3.239346420249374E-01,
2453877.500000000, A.D. 2006-May-22 00:00:00.0000, -5.706641923834952E+08, -5.753625796041424E+08,  1.515838315264291E+07,  9.121596574612871E+00, -8.592590602395751E+00, -1.684073102257631E-01,  2.703576593142343E+03,  8.105118722494091E+08, -3.258018045115441E-01,
2453878.500000000, A.D. 2006-May-23 00:00:00.0000, -5.698756292959777E+08, -5.761045477517673E+08,  1.514381397120637E+07,  9.133543062618987E+00, -8.582606651806719E+00, -1.688227044279680E-01,  2.703483011497091E+03,  8.104838171779554E+08, -3.245734102223296E-01,
2453879.500000000, A.D. 2006-May-24 00:00:00.0000, -5.690859257904042E+08, -5.768455115958114E+08,  1.512921534553525E+07,  9.145806669597903E+00, -8.569819278523759E+00, -1.691399625073093E-01,  2.703389195266499E+03,  8.104556917795855E+08, -3.255539164657460E-01,
2453880.500000000, A.D. 2006-May-25 00:00:00.0000, -5.682951147872566E+08, -5.775854822912242E+08,  1.511458572708255E+07,  9.160598445724499E+00, -8.557895886887257E+00, -1.694542918928024E-01,  2.703295249787853E+03,  8.104275276336242E+08, -3.276889596830191E-01,
2453881.500000000, A.D. 2006-May-26 00:00:00.0000, -5.675031519192460E+08, -5.783242363391036E+08,  1.509993414160368E+07,  9.171448670727825E+00, -8.544146573884642E+00, -1.697530540450276E-01,  2.703200541699146E+03,  8.103991348629185E+08, -3.283594889002980E-01,
2453882.500000000, A.D. 2006-May-27 00:00:00.0000, -5.667101450208715E+08, -5.790619284030170E+08,  1.508525396379608E+07,  9.184977729171957E+00, -8.530931197501662E+00, -1.700291439422212E-01,  2.703105690868058E+03,  8.103706992991235E+08, -3.305246890873708E-01,
2453883.500000000, A.D. 2006-May-28 00:00:00.0000, -5.659161255684450E+08, -5.797984403060837E+08,  1.507054871365997E+07,  9.195776491947619E+00, -8.518874766411244E+00, -1.703939886184971E-01,  2.703010489330484E+03,  8.103421585961685E+08, -3.299542412522146E-01,
2453884.500000000, A.D. 2006-May-29 00:00:00.0000, -5.651210309917467E+08, -5.805338731971933E+08,  1.505581543652916E+07,  9.207987140901501E+00, -8.504498774584576E+00, -1.706514278019120E-01,  2.702915032228927E+03,  8.103135412770592E+08, -3.320281050611349E-01,
2453885.500000000, A.D. 2006-May-30 00:00:00.0000, -5.643250449628656E+08, -5.812682007827477E+08,  1.504105279042315E+07,  9.218943256192631E+00, -8.494205751560155E+00, -1.710705816734950E-01,  2.702819683989633E+03,  8.102849565940351E+08, -3.303059655062883E-01,
2453886.500000000, A.D. 2006-May-31 00:00:00.0000, -5.635279676924120E+08, -5.820015316073122E+08,  1.502625974843431E+07,  9.230986260343007E+00, -8.481284144173415E+00, -1.713852130301281E-01,  2.702724239879829E+03,  8.102563431697557E+08, -3.312209107306405E-01,
2453887.500000000, A.D. 2006-Jun-01 00:00:00.0000, -5.627298376314180E+08, -5.827338670006309E+08,  1.501143503898728E+07,  9.245132729791052E+00, -8.469915068440026E+00, -1.717291436342605E-01,  2.702628793801342E+03,  8.102277291552793E+08, -3.324788452773353E-01,
2453888.500000000, A.D. 2006-Jun-02 00:00:00.0000, -5.619305591120732E+08, -5.834650142564485E+08,  1.499658725324950E+07,  9.255948156894808E+00, -8.455917647243709E+00, -1.720197723438761E-01,  2.702532663424848E+03,  8.101989099934220E+08, -3.333103988541399E-01,
2453889.500000000, A.D. 2006-Jun-03 00:00:00.0000, -5.611302722556590E+08, -5.841951089767963E+08,  1.498171003002644E+07,  9.269332103715582E+00, -8.443291299692570E+00, -1.723182941493415E-01,  2.702436498775703E+03,  8.101700805568820E+08, -3.349358304722918E-01,
2453890.500000000, A.D. 2006-Jun-04 00:00:00.0000, -5.603289635480636E+08, -5.849240356131620E+08,  1.496680753920212E+07,  9.279900167480946E+00, -8.431082657918324E+00, -1.726801346334970E-01,  2.702339991129920E+03,  8.101411482925371E+08, -3.343101640104262E-01,
2453891.500000000, A.D. 2006-Jun-05 00:00:00.0000, -5.595265898779215E+08, -5.856519114667940E+08,  1.495187586985570E+07,  9.292579753049326E+00, -8.417063650811814E+00, -1.729438719067917E-01,  2.702243323352404E+03,  8.101121680219060E+08, -3.364495565193503E-01,
2453892.500000000, A.D. 2006-Jun-06 00:00:00.0000, -5.587233058189406E+08, -5.863786635815338E+08,  1.493691574642241E+07,  9.303175630611525E+00, -8.406600103953814E+00, -1.733623136420470E-01,  2.702146676047154E+03,  8.100831938887060E+08, -3.345824343053485E-01,
2453893.500000000, A.D. 2006-Jun-07 00:00:00.0000, -5.579189303992732E+08, -5.871044378362787E+08,  1.492192456991589E+07,  9.315666067445999E+00, -8.393660818122436E+00, -1.736692953525023E-01,  2.702049984916348E+03,  8.100542066169350E+08, -3.358076659530271E-01,
2453894.500000000, A.D. 2006-Jun-08 00:00:00.0000, -5.571134988972707E+08, -5.878292030800028E+08,  1.490690223073104E+07,  9.329679394432482E+00, -8.382554694017079E+00, -1.740261305676185E-01,  2.701953257560304E+03,  8.100252084851106E+08, -3.367476383698634E-01,
2453895.500000000, A.D. 2006-Jun-09 00:00:00.0000, -5.563068785776191E+08, -5.885527872342720E+08,  1.489185696877494E+07,  9.341060399815124E+00, -8.367965189763114E+00, -1.742895894840961E-01,  2.701855774804158E+03,  8.099959838900330E+08, -3.383997190122738E-01,
2453896.500000000, A.D. 2006-Jun-10 00:00:00.0000, -5.554992482335939E+08, -5.892752805605214E+08,  1.487678348174301E+07,  9.354499125222702E+00, -8.355347942759003E+00, -1.745893342826230E-01,  2.701758165600943E+03,  8.099667213870777E+08, -3.400319407760730E-01,
2453897.500000000, A.D. 2006-Jun-11 00:00:00.0000, -5.546905691509691E+08, -5.899965699256225E+08,  1.486168630027470E+07,  9.365015914579192E+00, -8.342304342002041E+00, -1.749232777583485E-01,  2.701660067225322E+03,  8.099373122339245E+08, -3.399704044133695E-01,
2453898.500000000, A.D. 2006-Jun-12 00:00:00.0000, -5.538808423177956E+08, -5.907167771767981E+08,  1.484656064163640E+07,  9.377921547812903E+00, -8.328108308231190E+00, -1.751796887689072E-01,  2.701561777780179E+03,  8.099078457995696E+08, -3.423829063835070E-01,
2453899.500000000, A.D. 2006-Jun-13 00:00:00.0000, -5.530702041539140E+08, -5.914357954066758E+08,  1.483140871197024E+07,  9.387839763359805E+00, -8.316830898437624E+00, -1.755803966050138E-01,  2.701463348571970E+03,  8.098783374653015E+08, -3.406277815660698E-01,
2453900.500000000, A.D. 2006-Jun-14 00:00:00.0000, -5.522585202473205E+08, -5.921538133735223E+08,  1.481622579881686E+07,  9.400215245958275E+00, -8.303614466490060E+00, -1.758791069720025E-01,  2.701364932504067E+03,  8.098488330703983E+08, -3.419624056699759E-01,
2453901.500000000, A.D. 2006-Jun-15 00:00:00.0000, -5.514458259433773E+08, -5.928707858943316E+08,  1.480101234553367E+07,  9.413374580641806E+00, -8.292548417582287E+00, -1.762507121148884E-01,  2.701266501169852E+03,  8.098193240987699E+08, -3.422554931150589E-01,
2453902.500000000, A.D. 2006-Jun-16 00:00:00.0000, -5.506319648255445E+08, -5.935865894297084E+08,  1.478577511706698E+07,  9.424761207694285E+00, -8.277595642200438E+00, -1.765020542350682E-01,  2.701167399034161E+03,  8.097896140259181E+08, -3.441816624052190E-01,
2453903.500000000, A.D. 2006-Jun-17 00:00:00.0000, -5.498171406507385E+08, -5.943012813084416E+08,  1.477050968012756E+07,  9.437603488438283E+00, -8.265305901473534E+00, -1.768220553012960E-01,  2.701068228980215E+03,  8.097598835916857E+08, -3.451467953641455E-01,
2453904.500000000, A.D. 2006-Jun-18 00:00:00.0000, -5.490012821512227E+08, -5.950147774998856E+08,  1.475522012783647E+07,  9.447798445011619E+00, -8.251953185011452E+00, -1.771483408277219E-01,  2.700968623985796E+03,  8.097300227655795E+08, -3.450943233010603E-01,
2453905.500000000, A.D. 2006-Jun-19 00:00:00.0000, -5.481844184290684E+08, -5.957272068695204E+08,  1.473990098633400E+07,  9.460676399543871E+00, -8.238286432183184E+00, -1.774238974808036E-01,  2.700868965538026E+03,  8.097001459145622E+08, -3.470905081263830E-01,
2453906.500000000, A.D. 2006-Jun-20 00:00:00.0000, -5.473666402916132E+08, -5.964384430077183E+08,  1.472455580501166E+07,  9.470103996801807E+00, -8.226744499067788E+00, -1.778216450413987E-01,  2.700769148767803E+03,  8.096702215996674E+08, -3.451907519568170E-01,
2453907.500000000, A.D. 2006-Jun-21 00:00:00.0000, -5.465478479300529E+08, -5.971487051441755E+08,  1.470917833562067E+07,  9.482649597887985E+00, -8.213900675883931E+00, -1.781295539395784E-01,  2.700669486642882E+03,  8.096403436462680E+08, -3.463534385235127E-01,
2453908.500000000, A.D. 2006-Jun-22 00:00:00.0000, -5.457280510981190E+08, -5.978579268171427E+08,  1.469377016987541E+07,  9.495412273976756E+00, -8.203167113904275E+00, -1.785186142260531E-01,  2.700569839217963E+03,  8.096104700998180E+08, -3.461015790112675E-01,
2453909.500000000, A.D. 2006-Jun-23 00:00:00.0000, -5.449070674312631E+08, -5.985660212570913E+08,  1.467833697498766E+07,  9.507477706697596E+00, -8.188169727135463E+00, -1.787594439887132E-01,  2.700469584475724E+03,  8.095804144842160E+08, -3.485206746405171E-01,
2453910.500000000, A.D. 2006-Jun-24 00:00:00.0000, -5.440851078273258E+08, -5.992729874218106E+08,  1.466287626482794E+07,  9.520284748485118E+00, -8.176101559473063E+00, -1.790887698287511E-01,  2.700369194604113E+03,  8.095503183578473E+08, -3.492732903407446E-01,
2453911.500000000, A.D. 2006-Jun-25 00:00:00.0000, -5.432620763291186E+08, -5.999787571480393E+08,  1.464739198059797E+07,  9.530852817328682E+00, -8.162185690844650E+00, -1.793897494290682E-01,  2.700268286570287E+03,  8.095200668903546E+08, -3.498868871650570E-01,
2453912.500000000, A.D. 2006-Jun-26 00:00:00.0000, -5.424380375330398E+08, -6.006834377972709E+08,  1.463187883190015E+07,  9.544036461319594E+00, -8.148617281260149E+00, -1.796663076774871E-01,  2.700167270598488E+03,  8.094897830638721E+08, -3.519968108627872E-01,
2453913.500000000, A.D. 2006-Jun-27 00:00:00.0000, -5.416130476295305E+08, -6.013868800056319E+08,  1.461634162956196E+07,  9.553334733171168E+00, -8.136137271063252E+00, -1.800341726167658E-01,  2.700065903001704E+03,  8.094593938228701E+08, -3.506982243382303E-01,
2453914.500000000, A.D. 2006-Jun-28 00:00:00.0000, -5.407870669972672E+08, -6.020893141918571E+08,  1.460077289710933E+07,  9.565994207620438E+00, -8.123084368454702E+00, -1.803336094242183E-01,  2.699964665640927E+03,  8.094290436256415E+08, -3.520712114885986E-01,
2453915.500000000, A.D. 2006-Jun-29 00:00:00.0000, -5.399600943923734E+08, -6.027906577217511E+08,  1.458517502354220E+07,  9.578107404735087E+00, -8.111952418745179E+00, -1.807192211978554E-01,  2.699863351997304E+03,  8.093986705593910E+08, -3.516468166826536E-01,
2453916.500000000, A.D. 2006-Jun-30 00:00:00.0000, -5.391319524459467E+08, -6.034908695982304E+08,  1.456955185706276E+07,  9.590426955821473E+00, -8.096565193336822E+00, -1.809444395920585E-01,  2.699761466918260E+03,  8.093681261811107E+08, -3.545218922153858E-01,
